id,name,party,sector,country
Ursula,Ursula von der Leyen,CDU,Politik,Europa
Lars,Lars Klingbeil,SPD,Politik,Deutschland
Norbert,Norbert Röttgen,CDU,Politik,Deutschland
Constanze,Constanze Stelzenmüller,,Justiz,Deutschland
Christian,Christian Lindner,FDP,Politik,Deutschland
Karl,Karls Schlögel,,Historie,Deutschland
Ljudmyla,Ljudmyla Melnyk,,Wissenschaft,Ukraine
Kristina ,Kristina Dunz,,Journalismus,Deutschland
Annalena,Annalena Baerbock,Die Grünen,Politik,Deutschland
Andrij,Andrij Melnyk,,Politik,Ukraine
Egon,Egon Ramms,,Bundeswehr,Deutschland
Sahra,Sahra Wagenknecht ,Die Linke,Politik,Deutschland
Robert,Robert Habeck,Die Grünen,Politik,Deutschland
Claudia,Claudia Major,,Wissenschaft,Deutschland
Katja ,Katja Petrowskaja,,Journalismus,Ukraine
Roderich,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
